id,first_name,last_name,email,gender,ip_address,date,parts,unit cost
1,Lurette,Rounsefull,lrounsefull0@cbsnews.com,Female,208.52.245.134,4/11/2019,1,1425.64
2,Peder,Heineking,pheineking1@mac.com,Male,216.60.184.211,5/15/2019,79,2666.57
3,Haydon,Birdsall,hbirdsall2@spotify.com,Male,161.74.94.92,10/18/2019,27,2377.64
4,Barbe,Mouse,bmouse3@elegantthemes.com,Female,97.202.107.43,5/16/2019,20,3375.08
5,Sherwin,Wealthall,swealthall4@whitehouse.gov,Male,155.14.42.127,3/5/2019,77,4147.29
6,Ase,Pringle,apringle5@sfgate.com,Male,147.34.186.244,10/19/2019,33,4551.61
7,Sibylla,Weiss,sweiss6@icq.com,Female,196.247.130.201,3/7/2019,21,2154.9
8,Richy,Dougal,rdougal7@yelp.com,Male,91.176.172.223,12/27/2018,97,3403.75
9,Kelsey,Ludlamme,kludlamme8@cyberchimps.com,Male,121.112.184.219,5/2/2019,81,4930.75
10,Fae,Driffe,fdriffe9@friendfeed.com,Female,219.51.51.253,4/7/2019,57,3100.78
11,Dannye,Sleit,dsleita@independent.co.uk,Female,160.208.93.210,10/4/2019,88,4401.37
12,Kessia,Gilkes,kgilkesb@w3.org,Female,30.178.57.187,8/26/2019,82,2369.86
13,Rickie,Persich,rpersichc@mapquest.com,Male,50.235.20.153,9/13/2019,94,4557.41
14,Margaretta,Shearn,mshearnd@buzzfeed.com,Female,172.102.242.250,3/14/2019,72,2948.22
15,Malcolm,Winnard,mwinnarde@yale.edu,Male,185.241.158.149,5/15/2019,82,4723.48
16,Lazarus,Summerlie,lsummerlief@comsenz.com,Male,111.172.107.99,11/8/2019,89,2845.05
17,Bord,Cato,bcatog@edublogs.org,Male,177.53.70.102,4/2/2019,32,4933.24
18,Weber,Guslon,wguslonh@go.com,Male,115.2.137.252,12/10/2018,94,4348.69
19,Stearne,MacPadene,smacpadenei@pbs.org,Male,35.83.181.137,8/4/2019,82,4950.67
